"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"0","Nulla da segnalare","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","0"
"1","Sordomuto che sa leggere e scrivere","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","Sordomuto che sa leggere ma non sa scrivere","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","Sordomuto che sa leggere ma non può scrivere","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
"4","Sordomuto che non sa né leggere né scrivere","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","4"
"5","Persona che non conosce la lingua italiana","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","5"
"6","Sordo ma non muto che sa leggere","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","6"
"7","Sordo ma non muto che non sa leggere","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","7"
"8","Muto ma non sordo che sa scrivere","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","8"
"9","Muto ma non sordo che non sa scrivere","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","9"
"10","Muto ma non sordo che non può scrivere","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","10"
