"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","Attestazione di nascita","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","Constatazione di avvenuto parto","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","Dichiarazione di nascita sostitutiva resa da dichiarante","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
"4","Certificato medico attestante che il bambino è nato morto","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","4"
"5","Certificato medico attestante che il bambino è nato vivo e poi deceduto","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","5"
"6","Procura","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","6"
"7","Atto notarile consenso","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","7"
"8","Atto di pre-riconoscimento","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","8"
"9","Copia dell'atto di riconoscimento effettuato dell'altro genitore","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","9"
"10","Copia dell'atto di consenso dell'altro genitore","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","10"
"11","Provvedimento di autorizzazione del giudico per figlio incestuoso","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","11"
"12","Certificato medico attestante lo stato di gravidanza ","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","12"
"13","Copia integrale dell'atto di nascita del figlio che viene riconosciuto","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","13"
"14","Copia dell'atto di assenso del figlio","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","14"
"15","Sentenza del Tribunale che autorizza al riconoscimento senza il consenso dell'altro genitore","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","15"
"16","Copia integrale dell'atto di nascita del dichiarante","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","16"
"17","Copia integrale dell'atto di nascita dell'altro genitore","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","17"
"18","Atto di riconoscimento","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","18"
"19","Decreto del Tribunale","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","19"
"20","Copia dell'atto di riconoscimento","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","20"
"21","Atto cambiamento del cognome del genitore","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","21"
"22","Comunicazione al Tribunale dei minorenni","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","22"
"23","Attestazione di avvenuto parto","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","23"
"25","Sentenza straniera","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","25"
"26","Nota di trasmissione da parte dell'autorità consolare o diplomatica","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","26"
"27","Atto estero di nascita originale o copia autentica","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","27"
"28","Richiesta di trascrizione","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","28"
"29","Copia integrale dell'atto di nascita dell'interessato","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","29"
"30","Decreto Prefettizio","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","30"
"31","Atto di riconoscimento materno","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","31"
"32","Certificato necroscopico","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","32"
"33","Atto di morte (in originale)","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","33"
"34","Traduzione atto di morte","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","34"
"35","Avviso di morte","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","35"
"36","Nulla osta","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","36"
"37","Certificazione sostitutiva della documentazione","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","37"
"38","Traduzione sentenza straniera","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","38"
"39","Dichiarazione di conformità","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","39"
"40","Sentenza di dichiarazione di morte presunta","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","40"
"41","Sentenza di accertamento di morte","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","41"
"42","Decreto del tribunale per autorizzazione omesse pubblicazioni","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","42"
"43","Rigetto del Tribunale all'opposizione","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","43"
"44","Ordinanza che dichiara estinto il giudizio di opposizione","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","44"
"45","Decreto del tribunale per autorizzazione nonostante impedimento di età","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","45"
"46","Decreto del tribunale per autorizzazione nonostante impedimento di affinità o affiliazione","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","46"
"47","Decreto del tribunale per autorizzazione nonostante impedimento di divieto temporaneo di nuove nozze","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","47"
"48","Atto di matrimonio","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","48"
"49","Certificato di residenza","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","49"
"50","Atto di matrimonio straniero, tradotto e legalizzato","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","50"
"51","Ceritificazione come da articolo 5 del Decreto Legge n. 132/2014 convertito con Legge 10.11.2014 n.162","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","51"
"52","Certificazione acquisita dall'avvocato dello sposo","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","52"
"53","Certificazione acquisita dall'avvocato dello sposa","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","53"
"54","Sentenza della Corte d'Appello","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","54"
"55","Certificato di cui all'art.39 del Regolamento (CE) n. 2201/2003","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","55"
"56","Certificato della richiesta di costituzione 1","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","56"
"57","Certificato della richiesta di costituzione 2","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","57"
"58","Atto di costituzione di unione civile","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","58"
"59","Traduzione dell'atto di costituzione di unione civile","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","59"
"60","Estratto dell'atto di unione civile","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","60"
"61","Lettera raccomandata","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","61"
"62","Atto di manifestazione di volontà di sciogliere l'unione civile","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","62"
"63","Esito accertamento di cittadinanza","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","63"
"64","Attestazione di acquisizione di cittadinanza","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","64"
"65","Ricevuta pagamento contributo di 250,00","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","65"
"66","Documentazione comprovante la prestazione del servizio militare","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","66"
"67","Documentazione relativa all'assunzione pubblico impiego","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","67"
"68","Documentazione attestante la residenza in Italia","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","68"
"69","Certificazione di cittadinanza del genitore","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","69"
"70","Copia integrale dell'atto di cittadinanza dell'interessato","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","70"
"71","Attestazione di perdita di cittadinanza","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","71"
"72","Documentazione che comprovi possesso di ulteriore cittadinanza","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","72"
"73","Esito accertamento perdita di cittadinanza","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","73"
"74","Decreto di naturalizzazione straniero","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","74"
"75","Dichiarazione di riacquisto della cittadinanza italiana resa al Consolato italiano all'estero","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","75"
"76","Documentazione attestatente l'abbandono del pubblico impiego o del servizio militare assunto","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","76"
"77","Titolo di soggiorno per cittadini extraUE","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","77"
"78","Decreto notificato con marca da bollo da € 16","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","78"
"79","Comunicazione prefettizia di concessione cittadinanza","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","79"
"80","Documento d'identità","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","80"
"81","Documentazione comprovante l'incapacità di agire","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","81"
"82","Documento di delega per il rappresentante","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","82"
"83","Copia del decreto da trascrivere","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","83"
"998","Allegato per caso d'uso libero","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","998"
"999","Processo verbale","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","999"
